Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,nodeX,nodeY,STREET1,STREET2
1,0,0,1,2010,993102.794,190464.1014,DEKALB AVENUE,CLINTON AVENUE
1,1,0,0,2010,993633.4422,216961.0159,EAST 60 STREET,3 AVENUE
1,0,1,0,2010,993815.9713,187510.3015,ATLANTIC AVENUE,WAVERLY AVENUE
1,1,0,0,2010,993930.7283,154632.7075,OCEAN PARKWAY,AVENUE X
1,0,0,1,2010,994101.9944,198846.7024,SOUTH 4 STREET,BERRY STREET
1,0,1,0,2010,994108.5593,192702.5021,GRAND AVENUE,PARK AVENUE
2,1,1,0,2010,994136.1774,216385.5446,2 AVENUE,EAST 59 STREET
1,1,0,0,2010,994197.4929,149501.6417,BRIGHTON BEACH AVENUE,BRIGHTON 3 STREET
1,0,0,1,2010,994355.2025,192794.0049,STEUBEN STREET,PARK AVENUE
1,1,0,0,2010,994450.9668,149572.672,BRIGHTON BEACH AVENUE,BRIGHTON 4 STREET
1,1,0,0,2010,994521.3374,215551.2943,1 AVENUE,EAST 57 STREET
1,1,0,0,2010,995005.3456,222592.8121,EAST 81 STREET,MADISON AVENUE
1,1,0,0,2010,995087.4189,164398.5636,EAST 14 STREET,AVENUE M
1,1,0,0,2010,995345.965,174216.2933,OCEAN AVENUE,BEVERLY ROAD
1,1,0,0,2010,995463.4812,149857.5763,BRIGHTON BEACH AVENUE,CONEY ISLAND AVENUE
1,0,0,1,2010,995655.5215,197787.7314,HAVEMEYER STREET,WILLIAMSBURG BRIDGE ET S 5 ST
1,1,0,0,2010,995736.5449,187656.3052,FULTON STREET,CLASSON AVENUE
1,1,0,0,2010,995741.9846,186674.565,PACIFIC STREET,CLASSON AVENUE
1,0,1,0,2010,995875.521,174823.1032,FLATBUSH AVENUE,TILDEN AVENUE
1,1,0,0,2010,996102.4169,168991.8255,OCEAN AVENUE,AVENUE H
1,0,0,1,2010,996271.0485,161741.7317,AVENUE P,EAST 17 STREET
1,0,0,1,2010,996524.9882,163718.2074,EAST 19 STREET,AVENUE N
1,1,0,0,2010,996600.4441,222314.1023,EAST 83 STREET,3 AVENUE
1,1,0,0,2010,996698.728,221027.4612,2 AVENUE,EAST 79 STREET
1,0,0,1,2010,997133.3236,161865.3112,OCEAN AVENUE,AVENUE P
1,1,0,0,2010,997246.8241,161084.9387,OCEAN AVENUE,QUENTIN ROAD
1,1,0,0,2010,997864.8281,151314.4497,SHORE BOULEVARD,COLERIDGE STREET
1,1,0,0,2010,997925.4316,204873.2124,MC GUINNESS BOULEVARD,CALYER STREET
1,0,0,1,2010,997936.7177,161975.2617,EAST 23 STREET,AVENUE P
1,1,0,0,2010,998004.5555,221839.3034,1 AVENUE,EAST 84 STREET
1,1,0,0,2010,998280.3751,170448.6103,FLATBUSH AVENUE,GLENWOOD ROAD
1,1,0,0,2010,998950.2229,232870.3309,LENOX AVENUE,WEST 122 STREET
1,1,0,0,2010,999169.8747,149719.2629,FALMOUTH STREET,ORIENTAL BOULEVARD
1,1,0,0,2010,999265.8489,154617.6649,AVENUE Y,EAST 24 STREET
1,1,0,0,2010,999690.077,189004.9902,MADISON STREET,TOMPKINS AVENUE
1,1,0,0,2010,1000385.013,244743.8403,BROADWAY,WEST 164 STREET
1,0,1,0,2010,1000510.495,186298.5356,ATLANTIC AVENUE,KINGSTON AVENUE
1,1,0,0,2010,1001201.928,247007.0474,WADSWORTH AVENUE,WEST 173 STREET
1,1,0,0,2010,1001237.459,154115.1856,AVENUE Z,HARING STREET
